slides
2021-04-22 13.52.10
2021-04-22 14.17.26
2021-04-22 14.31.23
2021-04-22 14.39.00
2021-04-22 15.03.57
2021-04-22 16.18.29
2021-04-22 16.30.53
2021-04-22 16.47.46
2021-04-22 17.02.20
2021-04-22 18.01.13
2021-04-22 18.11.58
2021-04-22 18.21.02
2021-04-22 18.29.40
2021-04-22 19.00.10
2021-04-22 19.07.49
2021-04-22 19.17.41
2021-04-22 19.30.25
2021-04-22 19.36.12
2021-04-22 19.42.48
2021-04-22 19.48.51
2021-04-22 20.03.45
2021-04-22 20.16.14
2021-04-22 20.21.38
2021-04-22 20.39.58
2021-04-22 20.43.04
2021-04-22 20.47.02
2021-04-22 20.52.25
2021-04-22 21.09.14
2021-04-23 10.36.16
2021-04-23 12.11.01
2021-04-23 13.02.38
2021-04-23 13.06.10
2021-04-23 13.09.37
2021-04-23 13.18.02
2021-04-23 13.23.44
2021-04-23 13.31.22
2021-04-23 14.09.26
2021-04-23 14.25.03
2021-04-23 14.32.00
2021-04-23 14.38.02
2021-04-23 15.33.30
2021-04-23 16.12.01
2021-04-23 16.26.05
2021-04-23 16.56.05
2021-04-24 09.07.33
2021-04-24 09.13.11
2021-04-24 09.20.38
2021-04-24 09.28.16
2021-04-24 09.41.08
2021-04-24 09.47.02
2021-04-24 10.02.59
2021-04-24 10.12.33
2021-04-24 10.26.59
2021-04-24 10.35.56
2021-04-24 10.39.38
2021-04-24 10.45.37
2021-04-24 10.51.35
2021-04-24 10.56.58
2021-04-24 11.10.08
2021-04-24 11.13.55
2021-04-24 11.17.54
2021-04-24 11.26.32
2021-04-22 17.27.42
2021-04-22 18.42.33
2021-04-22 18.50.37
2021-04-22 19.54.02
2021-04-22 20.26.50
2021-04-22 21.00.02
2021-04-22 21.04.21
2021-04-23 10.48.14
2021-04-23 10.59.46
2021-04-23 11.19.33
2021-04-23 11.28.07
2021-04-23 11.55.05
2021-04-23 12.03.01
2021-04-23 12.38.39
2021-04-23 12.50.11
2021-04-23 12.57.42
2021-04-23 13.14.29
2021-04-23 13.45.47
2021-04-23 13.50.55
2021-04-23 13.56.04
2021-04-23 14.16.35
2021-04-23 15.35.52
2021-04-23 15.50.24
2021-04-23 16.42.40
2021-04-23 16.50.36
2021-04-24 09.53.43
2021-04-24 10.32.31
2021-04-24 11.04.39
2021-04-22 14.45.24
2021-04-22 20.09.40
2021-04-23 15.26.57
2021-04-23 15.58.26
2021-04-23 16.04.06
